index,latitude,longitude
492,-13.5692,131.4751
493,-13.5691,131.4873
494,-13.5877,131.4989
495,-13.6054,131.5247
496,-13.6261,131.5385
497,-13.6314,131.5475
498,-13.6296,131.5735
499,-13.6215,131.6016
500,-13.629,131.6272
501,-13.6547,131.6737
502,-13.6738,131.6915
503,-13.7037,131.6978
504,-13.7166,131.7056
505,-13.74,131.7345
506,-13.751,131.7609
507,-13.809,131.8168
508,-13.8132,131.8318
509,-14.0021,131.9289
510,-14.0301,131.9413
511,-14.0838,131.9887
512,-14.1081,131.9876
513,-14.1412,132.0
514,-13.8132,131.8318
515,-13.8195,131.8396
516,-13.8381,131.848
517,-13.8694,131.8417
518,-13.897,131.8487
519,-13.937,131.8882
520,-13.9828,131.9198
521,-14.0021,131.9289
522,-15.7436,130.6475
523,-15.7518,130.6146
524,-15.737,130.5825
525,-15.7354,130.5531
526,-15.7457,130.5407
527,-15.7471,130.5327
528,-15.738,130.5195
529,-15.7381,130.5073
530,-15.5892,130.9748
531,-15.6021,130.9358
532,-15.6216,130.9036
533,-15.6223,130.8862
534,-15.6595,130.8439
535,-15.6873,130.8268
536,-15.6983,130.798
537,-15.7204,130.7749
538,-15.7484,130.7342
539,-15.749,130.7267
540,-15.7425,130.7158
541,-15.7404,130.6809
542,-15.7436,130.6475
543,-15.3036,131.5719
544,-15.3106,131.5684
545,-15.3197,131.5559
546,-15.3364,131.5463
547,-15.3571,131.5239
548,-15.4051,131.5211
549,-15.4318,131.4736
550,-15.4572,131.4558
551,-15.461,131.4138
552,-15.467,131.4044
553,-14.8566,131.9218
554,-14.8697,131.9174
555,-14.8871,131.9012
556,-14.9063,131.8943
557,-14.9242,131.8769
558,-14.9454,131.869
559,-14.9589,131.8473
560,-15.0031,131.7957
561,-15.0311,131.782
562,-15.0728,131.7405
563,-15.1178,131.7056
564,-15.13,131.6892
565,-15.1499,131.6776
566,-15.1575,131.6683
567,-15.1793,131.6575
568,-15.1954,131.6413
569,-15.2075,131.6187
570,-15.241,131.5991
571,-15.2718,131.5873
572,-15.2905,131.5713
573,-15.3036,131.5719
574,-14.7616,132.0
575,-14.78,131.9546
576,-14.8131,131.9194
577,-14.8566,131.9218
578,-36.326,140.9122
579,-36.3196,140.8728
580,-36.3222,140.8455
581,-36.3077,140.7717
582,-36.347,140.9839
583,-36.3424,140.9601
584,-36.3318,140.9443
585,-36.326,140.9122
586,-15.467,131.4044
587,-15.4789,131.3934
588,-15.4966,131.3847
589,-15.4899,131.3627
590,-15.4999,131.3513
591,-15.5205,131.3015
592,-15.5339,131.2945
593,-15.5422,131.2835
594,-15.5607,131.2896
595,-15.5816,131.2783
596,-15.5973,131.2581
597,-15.6031,131.2353
598,-15.5959,131.2008
599,-15.6019,131.1759
600,-15.6154,131.1504
601,-15.6133,131.1381
602,-15.6165,131.1247
603,-15.6037,131.1136
604,-15.5891,131.1177
605,-15.5831,131.114
606,-15.5916,131.0984
607,-15.5893,131.0801
608,-15.5992,131.0559
609,-15.5865,131.041
610,-15.5892,130.9748
611,-18.0,127.8021
612,-18.0432,127.8049
613,-18.0831,127.7982
614,-18.0831,127.7982
615,-18.0919,127.7908
616,-18.0956,127.7764
617,-18.1155,127.7558
618,-18.1353,127.7255
619,-18.1544,127.7135
620,-18.1712,127.6961
621,-18.2029,127.6892
622,-18.2228,127.67
623,-18.2228,127.67
624,-18.2356,127.6566
625,-18.2437,127.6405
626,-18.2709,127.6276
627,-18.2949,127.5873
628,-18.3237,127.5565
629,-18.3237,127.5565
630,-18.3642,127.4866
631,-18.3766,127.4825
632,-18.4544,127.4197
633,-18.4851,127.4055
634,-18.5038,127.3856
635,-18.5211,127.3473
636,-17.8477,122.5027
637,-17.8423,122.5305
638,-17.8231,122.5617
639,-17.8226,122.6302
640,-17.8159,122.6559
641,-17.8204,122.7366
642,-17.8048,122.7882
643,-17.789,122.8189
644,-17.774,122.8649
645,-17.7724,122.8812
646,-17.7658,122.8879
647,-17.756,122.9241
648,-17.7207,123.0
649,-17.8792,124.6
650,-17.8926,124.6085
651,-17.9023,124.6263
652,-17.9096,124.7391
653,-17.9333,124.784
654,-18.7831,126.3963
655,-18.7715,126.3291
656,-18.752,126.2536
657,-18.7435,126.1668
658,-18.7519,126.1175
659,-18.7443,126.1066
