index,latitude,longitude
759,-17.4428,145.9457
760,-17.443,145.9466
761,-17.4433,145.9475
762,-17.4435,145.9484
763,-17.4437,145.9494
764,-17.4439,145.9503
765,-17.4442,145.9512
766,-17.4444,145.9521
767,-17.4446,145.9531
768,-17.4449,145.954
769,-17.4451,145.9549
770,-17.446,145.9553
771,-17.4469,145.9558
772,-17.4477,145.9562
773,-17.4486,145.9566
774,-17.4495,145.9571
775,-17.4504,145.9575
776,-17.4512,145.958
777,-17.4521,145.9584
778,-17.453,145.9588
779,-17.4539,145.9593
780,-17.4548,145.9597
781,-17.4556,145.9601
782,-17.4565,145.9606
783,-17.4574,145.961
784,-17.4583,145.9615
785,-17.4592,145.9619
786,-17.46,145.9623
787,-17.4609,145.9628
788,-17.4618,145.9632
789,-17.4627,145.9636
790,-17.4635,145.9641
791,-17.4644,145.9645
792,-17.4653,145.965
793,-17.4662,145.9654
794,-17.4671,145.9658
795,-17.4679,145.9663
796,-17.4688,145.9667
797,-17.4697,145.9671
798,-17.4706,145.9676
799,-17.4714,145.968
800,-17.4723,145.9685
801,-17.4732,145.9689
802,-17.4735,145.9698
803,-17.4738,145.9708
804,-17.474,145.9717
805,-17.4743,145.9727
806,-17.4746,145.9736
807,-17.4749,145.9746
808,-17.4751,145.9755
809,-17.4754,145.9765
810,-17.4757,145.9774
811,-17.476,145.9784
812,-17.4762,145.9793
813,-17.4765,145.9803
814,-17.4768,145.9812
815,-17.4771,145.9822
816,-17.4773,145.9831
817,-17.4776,145.9841
818,-17.4779,145.985
819,-17.4782,145.986
820,-17.4784,145.9869
821,-17.4787,145.9879
822,-17.479,145.9888
823,-17.4799,145.9891
824,-17.4808,145.9893
825,-17.4818,145.9896
826,-17.4827,145.9898
827,-17.4836,145.9901
828,-17.4845,145.9904
829,-17.4854,145.9906
830,-17.4864,145.9909
831,-17.4873,145.9912
832,-17.4882,145.9914
833,-17.4891,145.9917
834,-17.49,145.9919
835,-17.4909,145.9922
836,-17.4919,145.9925
837,-17.4928,145.9927
838,-17.4937,145.993
839,-17.4946,145.9933
840,-17.4955,145.9935
841,-17.4965,145.9938
842,-17.4974,145.994
843,-17.4983,145.9943
844,-17.4993,145.9941
845,-17.5002,145.9939
846,-17.5012,145.9937
847,-17.5022,145.9935
848,-17.5031,145.9933
849,-17.5041,145.9931
850,-17.5051,145.9929
851,-17.506,145.9927
852,-17.507,145.9924
853,-17.5079,145.9922
854,-17.5089,145.992
855,-17.5099,145.9918
856,-17.5108,145.9916
857,-17.5118,145.9914
858,-17.5128,145.9912
859,-17.5137,145.991
860,-17.5147,145.9908
861,-17.5429,146.0263
862,-17.5433,146.0271
863,-17.5436,146.0279
864,-17.544,146.0287
865,-17.5444,146.0295
866,-17.5448,146.0303
867,-17.5452,146.0311
868,-17.5455,146.0319
869,-17.5459,146.0327
870,-17.5469,146.0329
871,-17.5479,146.033
872,-17.5488,146.0332
873,-17.5498,146.0334
874,-17.5508,146.0335
875,-17.5518,146.0337
876,-17.5528,146.0339
877,-17.5537,146.034
878,-17.5547,146.0342
879,-17.5557,146.0344
880,-17.5567,146.0345
881,-17.5577,146.0347
882,-17.5587,146.0349
883,-17.5596,146.035
884,-17.5606,146.0352
885,-17.5616,146.0354
886,-17.5626,146.0355
887,-17.5636,146.0357
888,-17.5645,146.0359
889,-17.5655,146.036
890,-17.5665,146.0362
891,-17.5673,146.0367
892,-17.5682,146.0371
893,-17.569,146.0376
894,-17.5698,146.038
895,-17.5707,146.0385
896,-17.5715,146.0389
897,-17.5723,146.0394
898,-17.5731,146.0398
899,-17.574,146.0403
